,title,authors,manufacturer
B000F83SZQ,A Matter of Policy [An Amy Brewster Mystery],Sam Merwin Jr.,PageTurner
B000FA64PA,Saboteur: Star Wars Legends (Darth Maul) (Short Story) (Star Wars: Darth Maul Book 1),"James Luceno, Ron Marz, Jan Duursema, Rick Magyar, Drew Struzan",Del Rey
B000FA64PK,Recovery: Star Wars Legends (The New Jedi Order) (Short Story) (Star Wars: The New Jedi Order),"Troy Denning, Ron Marz, Jan Duursema, Rick Magyar, Drew Struzan",Del Rey
B000FA64QO,Ylesia: Star Wars Legends (The New Jedi Order) (Star Wars: The New Jedi Order),Walter Jon Williams,Del Rey
B000FBFMVG,A Forest Apart: Star Wars Legends (Short Story) (Star Wars - Legends),Troy Denning,Del Rey
B000FC1BN8,Fool's Bargain: Star Wars Legends (Novella) (Star Wars - Legends),Timothy Zahn,Del Rey
B000FC1TG2,The Iron Marshal,Louis L'Amour,Bantam
B000FC2MB8,Brionne: A Novel,Louis L'Amour,Bantam
B000JMKNQ0,Boba Fett: A Practical Man: Star Wars Legends (Short Story) (Star Wars - Legends),Karen Traviss,Del Rey
B000JMLBHU,The Mysterious Island,Jules Verne,Public Domain Books
B000JMLG4S,"Knots, Splices and Rope Work A Practical Treatise",A.(Alpheus) Hyatt Verrill,Public Domain Books
B000JMLHYC,The English Orphans,Mary Jane Holmes,Public Domain Books
B000JQUSBQ,Indian Fairy Tales,Public Domain Books,Public Domain Books
B000JQUT8S,Oliver Twist,Charles Dickens,Public Domain Books
B000JQUTGK,"The Lincoln Story Book A Judicious Collection of the Best Stories and Anecdotes of the Great President, Many Appearing Here for the First Time in Book Form",Henry Llewellyn Williams,Public Domain Books
B000JQUU00,English Fairy Tales,JOSEPH JACOBS,Public Domain Books
B000JQUXBQ,The Diary of a U-boat CommanderWith an Introduction and Explanatory Notes by Etienne,Public Domain Books,Public Domain Books
B000MAH6G4,Hawke: The Law of a Fast Gun,Robert Vaughan,HarperCollins e-books
B000MAH73Q,Falling in Love Again (Avon Romantic Treasure),Cathy Maxwell,HarperCollins e-books
B000NY11RY,"Tempt Me, Taste Me, Touch Me",Bella Andre,Pocket Books
B000PDZG6K,Tallchief,"Dinah McCall, Sharon Sala",HarperCollins e-books
B000Q9J0CO,Caught off Guard [Heroes of Silver Springs 1] (Siren Publishing Classic),Tonya Ramagos,Siren Publishing
B000QCS8YM,Sherlock Holmes: The Complete Novels and Stories: Volumes I and II: 1,Arthur Conan Doyle,Bantam Classics
B000QUCOB2,Stealing Sophie (Avon Historical Romance),Sarah Gabriel,HarperCollins e-books
B000R3NNAE,Hawke: The King Hill War,Robert Vaughan,HarperCollins e-books
B000SEGE3K,Sky Hunters: Anarchy's Reign,Jack Shane,HarperCollins e-books
B000SN6IOQ,Allan Quatermain,H. Rider (Henry Rider) Haggard,Public Domain Books
B000TU16PE,The Highland Rogues: Warrior Bride,Lois Greiman,HarperCollins e-books
B000U0NSV8,An Unladylike Offer (The Radwells Book 2),Christine Merrill,Harlequin Historical
B000UB9NCK,The Stranger,Elizabeth Lane,Harlequin Historical
B000UHAFGM,Jennifer Crusie Bundle: Getting Rid of Bradley\Strange Bedpersons\What The Lady Wants\Charlie All Night,Jennifer Crusie,MIRA
B000VXV7K8,Marriage At Circle M (Windover Ranch Book 2),Donna Alward,Harlequin Romance
B000W915JE,Hawke: Showdown at Dead End Canyon,Robert Vaughan,HarperCollins e-books
B000W93AHO,The Italian's Pregnant Mistress (Mistress to a Millionaire),Cathy Williams,Harlequin Presents
B000WCWV30,Lady Amelia's Secret Lover (Last Man Standing),Victoria Alexander,HarperCollins e-books
B000WSFBO0,Wings in the Night Part 1: Twilight Phantasies\Twilight Memories\Twilight Illusions\Beyond Twilight\Born in Twilight\Twilight Vows,Maggie Shayne,Silhouette Special Releases
B000ZBTYXS,A Christmas Marriage Ultimatum (Feature Anthology),Helen Bianchin,Harlequin Special Releases
B000ZBTYYW,The Greek Billionaire's Baby Revenge: A Billionaire Romance (Red-Hot Revenge),Jennie Lucas,Harlequin Presents
B000ZLMDAE,Devil's Pact [The Devil's Playground] (Siren Publishing Menage Amour),Samantha Cruise,Siren Publishing
B0010CDZE0,The Heart Will Lead You Home,Kristin Leedy,
B0010LG77I,"John Carter?s Chronicles of Mars: A Princess of Mars, Gods Of Mars, Warlords of Mars, Thuvia, Maid of Mars, The Chessmen of Mar",Edgar Rice Burroughs,Wilder Publications
B0010YXO6M,Mail Order Husband,Lauri Robinson,The Wild Rose Press
B0010ZGPB2,LONG CLAWS,Steve Peek,Providence Press
B0011ECV42,"Peculiar, MO",Robert Williams,"iUniverse, Inc."
B00124KDQY,Secret of the Scroll (Greg McKenzie Mysteries Book 1),Chester D. Campbell,Night Shadows Press
B00134D6RQ,Behind Closed Doors,Heather MacAllister,Harlequin Special Releases
B0013N884S,Wings in the Night Part 2: Twilight Hunger\Embrace the Twilight\Run From Twilight\Edge Of Twilight\Blue Twilight\Prince of Twilight,Maggie Shayne,Silhouette Special Releases
B0013TPUX4,A Risky Affair (Kimani Romance),Maureen Smith,Harlequin Kimani Romance
B0013TQVPK,"Mastery in 7 Steps: Understanding Mastery, Success, and Mind (Personal Transformation series Book 5)",Dennis E. Bradford Ph.D.,"Ironox Works, Inc."
B00149M19E,On The Edge: A short menage story in the On The Edge vampire series,Kallysten,
B0014BRMKA,High Seas to High Society (Wellinghams Book 1),Sophia James,Harlequin Historical
B0014JD6PC,True Stories of Messages from Beyond,Julie Aydlott,SDBAS Publishing
B0014YB7LM,The May Carousel,Leslie Wooddavis,Author's Editions
B0015YEQNM,The Study Series Bundle: Poison Study\Assassin Study\Magic Study\Fire Study,Maria V. Snyder,MIRA
B00164WE1W,Mistaken For A Mistress,Jane Porter,Harlequin Presents
B001684KWY,The Letter Sweater,Skip Crayton,"McBryde Publishing, L.L.C."
B0016RR5KE,The Sinking of the Titanic and Great Sea Disasters [Illustrated],Logan Marshall,MacMay
B0017DPWO8,Man of Steel (Cold Cases Book 1),Dave Conifer,
B0017HNV1U,Babylonian Laws- The Oldest Code of Laws in the World,King of Babylon Hammurabi,MacMay22
B0017I7XY0,Unbroken Hearts (Easton Series Book 1),Anna Murray,
B00186Z0XW,"Secret Baby, Convenient Wife (The Italian Husbands Book 30)",Kim Lawrence,Harlequin Presents
B0018GY5QU,Siryn Song: Shape Shifter Series - Book 1,Kathy Anne Pippig (Harris),Kathy Anne Pippig
B0018GYCRM,MELDER: Shape Shifter Series - Book 2,Kathy Anne Pippig (Harris),Kathy Anne Pippig (Harris)
B0018ND83O,You Send Me,Toni Blake,HarperCollins e-books
B0019F4UEW,"Amplified Bible (AMP 1987, Without Translators' Notes)",The Lockman Foundation,The Lockman Foundation
B0019ZDE2G,Doctrine and Covenants Made Easier Volume 2,David J. Ridges,Cedar Fort Inc.
B001A06VJ8,The Old Testament Made Easier - Part 1,David J. Ridges,Cedar Fort Inc.
B001A4E2OA,"Her Baby, His Proposal (Baby on Board)",Teresa Carpenter,Harlequin Romance
B001ACHADM,THE JYNX,Kenneth C. Crowe,
B001AS6H7Q,Reason Enough,Megan Hart,Spice Briefs
B001AWYAZ8,"The Life of A Child Survivor from Bialystok, Poland","Ben Midler, Ellen Midler Winter, Gavin Stein",self
B001B4G89Q,FORBIDDEN FRUIT,Anne Rainey,Red Sage Publishing  (eRedSage.com)
B001BM2ZFO,High Country Bride (The McKaslin Clan Historical Book 3),Jillian Hart,Steeple Hill Love Inspired Historicals
B001BUPF62,The Complete Wizard of Oz Collection (All 15 books) (Illustrated),L. Frank Baum,
B001BXN5HA,Vengeance: Book 1 - The Vendetta Trifecta,AJ Scudiere,Griffyn Ink
B001C8VA26,Omaha,Kevin O'Kane,"Threadsafe Publishing & Railway Maintenance Co., Hyannis, Nebraska"
B001D49LPW,The Marciano Love-Child (Bought for Her Baby),Melanie Milburne,Harlequin Presents
B001D49LRU,"Millionaire Dad, Nanny Needed! (The Wedding Planners)",Susan Meier,Harlequin Romance
B001D6468M,"Bachelors of Bear Creek Bundle: Sexy, Single And Searching\Eager, Eligible And Alaskan\A Touch Of Silk\A Thrill To Remember (The Bachelors of Bear Creek)",Lori Wilde,Harlequin Blaze
B001D69R0O,Twilight in the Spaces Between,David R. Williams,
