,title,authors,manufacturer,rank,price,currency,reldate,page,language
B00AHPSTRY,"Moshi iVisor XT (HD clear) No-Bubble Screen Protector for Kindle Fire HD 8.9""",,Moshi,,,,,,
B00AJIVB4C,Newsweek,,Newsweek LLC,,0,USD,2015-05-01,,English
B00AJZQC8A,"Buffalo Kindle Fire HD 7"" (Previous Generation) Anti-Glare Screen Protector",,Buffalo,,,,2012-12-20,,
B00AK3RB7W,Just Desserts,,Tirgearr Publishing,,,,2013-11-26,218,English
B00AMR3RII,Fifty Shades of Santa: Clean and Wholesome Romance Short Story Anthology,,Welkin Press,2163358,,,2012-12-08,144,English
B00AN7Q4WI,"kate spade new york Pebbled Leather Case for Kindle Fire HD, Green (only fits Kindle Fire HD 7"", Previous Generation)",,Kate Spade (Kindle Accessories),,,,,,
B00APDASCM,Soups & Stews 101: Master Soups and Stews with 101 Great Recipes,,Agate Digital,2183470,,,2013-02-26,144,English
B00AR3OKHE,The Story Bible,,,,,,2012-12-17,962,English
B00ASNFRIE,Cats in Space: The World's First Anthology Of Feline Science Fiction,,"Tibbles, Inc.",1490255,,,2012-12-23,36,English
B00AU2K83C,Shadows After Midnight (After Midnight Anthologies Book 1),,Welkin Press,2344864,,,2012-12-27,107,English
B00B0MN8JW,ISLAND DREAMS (MOTIVATIONAL PHOTOGRAPHY BOOK Book 1),,Happy Language Kids Publications,2368095,,,2013-01-12,36,English
B00B5HQYB6,"Dylan's Candy Bar ""Lollipop"" Cover for Kindle (will only fit Kindle, Kindle Touch, & Kindle Paperwhite)",,Dylan's Candy Bar,174360,1299,USD,,,
B00B81PBW2,365 Money Quotes: Build Your Wealth On Wisdom Of The Rich And Famous (Inspirational Quotes Book 1),,Better Life Publishers,1579805,,,2013-01-01,367,English
B00BGIQPSG,Marware Swurve for Kindle Fire HD 7 (Blue),,Marware,,,,,,
B00BGIQRNO,"Marware Swurve Kid Proof Case for Kindle Fire, Pink (will not fit HD or HDX models)",,MarBlue (Kindle Accessories),,,,,,
B00BGIQS1A,Amazon Kindle 5W USB Power Adapter,,"Amazon Digital Services, Inc",,,,2013-09-30,,
B00BMSDG9G,"Transformations: Stories of Success from Authors, Innovators, and Small Businesses Thriving on Amazon",,,,,,2013-02-27,57,English
B00BOW41P8,"NYTimes - Breaking Local, National & World News",,The New York Times,,0,USD,2017-02-14,,English
B00BPXLN6G,287 Happiness Quotes: Inspiration to Fuel Your Pursuit of a Happy and Fulfilled Life (Inspirational Quotes),,Better Life Publishers,1853241,,,2013-03-04,287,English
B00BVSCG3Y,101 Kids Choice Knock Knock Jokes,,Ron G,1895407,,,2013-03-17,43,English
B00BWL33H8,"Moshi Mythro Earbuds with Headset Microphone, Gunmetal Gray",,Moshi,,,,,,
B00BYH3TTM,"LifeForm Capacitive Stylus for Kindle Fire, Kindle Paperwhite and other Touchscreen Devices, Purple",,"Lifeform, Inc.",,,,,,
B00BYH3Y6U,"PUNCHCASE By Leslie Hsu Colbie Zipper Clutch for All Kindle E-readers and All 7"" Kindle Fire Tablets , Black Bubble Lamb Leather",,Punchcase (Kindle Accessories),,,,,,
B00C9QOJP0,Backwoods Home Magazine #111 - May/June 2008,,Backwoods Home Magazine,1406278,,,2008-05-01,208,English
B00CP82E18,"Zeiss LCD Clean Screen Wipes, 20 count",,Zeiss,,500,USD,,,
B00CP82G0C,Zeiss LCD Screen Gel Cleaning Kit (compatible with all Kindle and Fire models),,Zeiss,,,,,,
B00CV85G4E,Top 50 Most Delicious Grilled Cheese Sandwich & Panini Recipes (Recipe Top 50's Book 3),,,122008,,,2013-05-17,92,English
B00CXADBRY,"Moshi AirFoil Screen Protector for Kindle Paperwhite, Kindle, and Kindle Keyboard (2 Pack)",,Moshi,,,,,,
B00CXADBS8,"Moshi AirFoil Screen Protector for Kindle Paperwhite, Kindle, and Kindle Keyboard (1 Pack)",,Moshi,,,,,,
B00D6T5NCW,Anything She Wants,,Ladylit,824155,,,2013-06-03,103,English
B00D6W68KU,Flying Lucky,,B.K. Bryans,450169,,,2013-06-03,165,English
B00DIEYL3C,"OtterBox Defender Series Protective Case for Kindle Paperwhite, Black",,Otter Box,,,,,,
B00DP47WPY,Top 50 Most Delicious Homemade Sorbet Recipes (Recipe Top 50's Book 11),,Otherworld Publishing,171569,,,2013-06-27,82,English
B00DQGIHR8,2-Year SquareTrade Warranty plus Accident Protection for All-New Kindle Paperwhite 3G,,"Square Trade, Inc.",,,,2013-08-01,,
B00DQGIHZ0,2-Year Protection Plan plus Accident Coverage for Kindle Fire HDX Wi-Fi,,"Square Trade, Inc.",,,,2013-08-01,,
B00DQGII1I,2-Year Protection Plan plus Accident Protection for Kindle Paperwhite,,SquareTrade,,,,2014-08-27,,
B00DQGIIJU,"2-Year Protection Plan plus Accident Coverage for Kindle Fire HDX 8.9"" 4G",,KA Images,,,,2013-08-01,,
B00DQGIIM2,"2-Year Protection Plan plus Accident Coverage for Kindle Fire HDX 8.9"" Wi-Fi",,KA Images,,,,2013-08-01,,
B00DQZNPAS,"MarBlue Slim Hybrid Standing Case for Kindle Fire HDX 7, Purple",,MarBlue (Kindle Accessories),,,,,,
B00DQZNWNI,"MarBlue Ultra Lightweight Origin Case for Kindle Fire HDX 7"", Black",,MarBlue (Kindle Accessories),,,,2013-10-16,,
B00DQZNZDU,"MarBlue Ultra Lightweight Origin Case for Kindle Fire HDX 7"", Purple",,MarBlue (Kindle Accessories),,,,2013-10-16,,
B00DQZO3JK,"MarBlue Ultra Lightweight Origin Case for Kindle Fire HDX 7"", Lime Green",,MarBlue (Kindle Accessories),,,,2013-10-16,,
B00DQZOD8Q,Belkin Chambray Cover for Amazon Kindle Fire HDX (Only Fits Kindle Fire HDX 7-Inch),,Belkin Inc.,,,,2013-10-16,,
B00DQZOIOU,"Zipper Case for Kindle Fire HDX 7"" by Incipio, Black (does not fit previous generation)",,Incipio (Kindle Accessories),,,,,,
B00DQZP7X6,OTTERBOX 77-33645 DEFENDER SERIES BLK FOR,,Otter Box,,,,,,
B00DQZPCTA,"Incipio Hive Response Standing Case for Kindle Fire HDX 7"", Black",,Incipio (Kindle Accessories),,,,,,
B00DQZPM72,"Atlas Waterproof Case for Kindle Fire HDX 7"" by Incipio, Purple",,Incipio (Kindle Accessories),,5000,USD,,,
B00DQZQ032,"Buffalo Clear Screen Protector Kit for Kindle Fire HDX 7"" (will only fit Kindle Fire HDX 7""), 2 pack",,Buffalo (Kindle Accessories),,,,2013-10-16,,
B00DQZQ16S,"MarBlue Clear Screen Protector Kit for Kindle Fire HDX 7"" (will only fit Kindle Fire HDX 7"")",,MarBlue (Kindle Accessories),,,,2013-10-16,,
B00DQZQ5T6,"MarBlue Slim Hybrid Standing Case for the Kindle Fire HD, Black (will only fit 3rd generation)",,MarBlue (Kindle Accessories),,,,,,
B00DQZQPNM,"Belkin Chambray Cover for Kindle Fire HD (will only fit 3rd generation), Blacktop",,Belkin Inc.,,,,2013-10-02,,
B00DQZQVH2,"Zipper Case for the Kindle Fire HD by Incipio, Pink (will only fit 3rd generation)",,MarBlue (Kindle Accessories),,1520,USD,,,
B00DQZRKY0,"OtterBox Defender Standing Case for the Kindle Fire HD, Black (will only fit 3rd generation)",,Otter Box,,,,,,
B00DQZRQPI,"Incipio Hive Response Standing Case for the Kindle Fire HD, Black (will only fit 3rd geenration)",,Incipio (Kindle Accessories),,,,,,
B00DQZSAXU,Incipio Butterfly Kids Case for the Kindle Fire HD 7 (will only fit 3rd generation),,Incipio (Kindle Accessories),,,,,,
B00DQZSBUC,Incipio Firetruck Kids Case for the Kindle Fire HD 7 (will only fit 3rd generation),,Incipio (Kindle Accessories),,,,,,
B00DQZSDPU,"Buffalo Clear Screen Protector Kit for Kindle Fire HD 7 (will only fit 3rd generation), 2 pack",,Buffalo (Kindle Accessories),,,,2013-10-02,,
B00DQZSEWM,MarBlue Clear Screen Protector Kit for the Kindle Fire HD 7 (will only fit 3rd generation),,MarBlue (Kindle Accessories),,,,2013-10-02,,
B00DQZSFSA,MarBlue Anti-Glare Screen Protector Kit for the Kindle Fire HD 7 (will only fit 3rd generation),,MarBlue,325173,,,,,
B00DQZSIW8,"MarBlue Slim Hybrid Standing Case for Kindle Fire HDX 8.9"", Black",,MarBlue (Kindle Accessories),,,,,,
B00DQZT0AC,"MarBlue Ultra Lightweight Origin Case for Fire HDX 8.9, Black (will fit 3rd and 4th generation)",,MarBlue (Kindle Accessories),,,,2013-11-07,,
B00DQZT38G,"Belkin Chambray Cover for Kindle Fire HDX 8.9"" (will only fit Kindle Fire HDX 8.9""), Blacktop",,Belkin Inc.,,,,2013-11-22,,
B00DQZTJKI,OTTERBOX 77-34772 DEFENDER SERIES BLK FOR AMAZON,,Otterbox,,,,2013-11-11,,
B00DQZTS8Q,"Marware Clear Screen Protector Kit for Kindle Fire HDX 8.9"" (will only fit Kindle Fire HDX 8.9""), 2 pack",,,,,,,,
B00DR0B31U,"Amazon Kindle Fire HDX Standing Leather Origami Case (will only fit Kindle Fire HDX 7""), Black",,"Amazon Digital Services, Inc",,,,2013-10-16,,
B00DR0B7Y8,"Amazon Kindle Fire HDX Standing Polyurethane Origami Case (will only fit Kindle Fire HDX 7""), Mineral Black",,"Amazon Digital Services, Inc",,,,2013-10-16,,
B00DR0BOSC,"Amazon Kindle Fire HD Standing Leather Origami Case (will only fit Kindle Fire HD 7""), Black",,"Amazon Digital Services, Inc",,1892,USD,,,
B00DR0BQ0I,"Amazon Kindle Fire HD Standing Polyurethane Origami Case (will only fit 3rd generation), Slate Grey",,"Amazon Digital Services, Inc",,3499,USD,,,
B00DTWUEV6,Flying Lucky 2,,B.K. Bryans,625480,,,2013-07-07,173,English
B00DULMXTW,"Amazon Kindle Fire HDX 8.9"" Standing Polyurethane Origami Case (will only fit Kindle Fire HDX 8.9""), Mineral Black",,"Amazon Digital Services, Inc",,2158,USD,2013-11-07,,
B00DUMWHE2,25 Cool Things to Do with Wine Bottles,,Prime Publishing LLC,,,,2013-07-09,87,English
B00DUQUUDI,"Kindle Marware Atlas Black Cover (fits Kindle Paperwhite, Kindle, and Kindle Touch) - 'Create Your Own'",,MarBlue (Kindle Accessories),,,,2012-12-31,,
B00E5UIB16,"BUFFALO Clear Screen Protector Kit for Kindle Fire HDX 8.9 (will only fit Kindle Fire HDX 8.9""), 2 pack",,Buffalo,,1899,USD,,,
B00E7FMBNI,"Heaven is Real, Heaven Exists; Proof of Life-after Death; Real stories of Near-death experiences. (Heaven is Real; Heaven Exists. Book 1)",,,292721,,,2013-07-27,23,English
B00E83H6FW,"Belkin QODE Bluetooth Keyboard Folio Case for Kindle Fire HD 7"" (Previous Generation)",,Belkin,,,,2012-12-20,,
B00E8RDAEO,Backwoods Home Magazine #94 - July/Aug 2005,,Backwoods Home Magazine,112463,,,2005-07-01,187,English
B00E8RWYXW,First Chapters,,B & H Productions,2612599,,,2013-07-29,183,English
B00EAR8S76,"Marware SportGrip Silicone Skin for Kindle Paperwhite, Blue (does not fit Kindle or Kindle Touch)",,MarBlue (Kindle Accessories),,,,,,
B00EBBQFIA,Top 50 Most Delicious Homemade Bread Recipes (Recipe Top 50's Book 15),,,283016,,,2013-08-02,106,English
B00ECERI32,"Moshi Cirrus Standing Cover for Kindle Paperwhite, Blue",,Moshi,,,,,,
B00EOE6COQ,Belkin Extra Long 10-Foot / 3-Meter Micro USB Cable (Purple),,Belkin,268641,,,,,
B00EOE6FUW,"Belkin MiXiT Car Charger + Micro USB Cable for Amazon Fire Phone, all Kindle and Kindle Fire Models, 4 Feet (Purple)",,Belkin,250261,,,,,
B00EUFP39E,"Snoopy Folio Case for Kindle and Kindle Paperwhite, Snoopy Doghouse",,jWIN,,,,,,
B00F6E8OUS,"MarBlue Vassen for Kindle Case, Black (Fits Kindle Paperwhite, Kindle and Kindle Touch)",,MarBlue (Kindle Accessories),,,,,,
B00FE3GXUY,Washington Post Classic,,Washington Post Company,,0,USD,2017-11-15,,English
B00FQ1NHA8,"Kindle FreeTime Kid-Proof Case for the All New Kindle Fire HD, Blue (does not fit previous generation HD model)",,"Amazon Digital Services, Inc",,,,2013-12-09,,
B00FRL7424,"MarBlue Sleeq Stylus for Touchscreen Devices, Black",,MarBlue,,,,,,
B00FZ9SJLS,Moshi iVisor XT (HD clear) No-Bubble Screen Protector for the Kindle Fire HD 7 (will only fit 3rd generation),,Moshi,,1200,USD,,,
B00FZ9SM4M,"Moshi iVisor XT (HD clear) No-Bubble Screen Protector for the Fire HDX 7""",,Mavogel,,,,,,
B00FZ9SMVU,"Moshi iVisor XT (HD clear) No-Bubble Screen Protector for the Fire HDX 8.9""",,Moshi,,2999,USD,,,
B00G3KA7RW,"Jonathan Adler Punctuation Cover - Black/White (Fits Kindle Paperwhite, Kindle & Kindle Touch)",,PUNCHCASE (Factory Direct),,2999,USD,,,
B00G4FCHH4,"Golla Vincent Cover for Kindle and Kindle Paperwhite, White",,,,,,,,
B00G4FCKB2,"Golla Angela Cover for Kindle and Kindle Paperwhite, Pink",,Golla,,,,,,
B00GA55OGE,"Atlas Waterproof Case for Kindle Paperwhite by Incipio, Black",,Incipio (Kindle Accessories),,,,,,
B00GA55SII,"Kindle Paperwhite Journal  Case by Incipio, Brown",,Incipio (Kindle Accessories),,,,,,
B00GA55Y0K,"Tek-nical Case for the Kindle Fire HD by Incipio, Black (will only fit 3rd generation)",,Incipio (Kindle Accessories),,1410,USD,,,
B00GA562HO,"Tek-nical Case for the All New Kindle Fire HDX 7"" by Incipio, Black",,Incipio (Kindle Accessories),,,,,,
B00GBAD6VS,Top 50 Most Delicious Spring Roll Recipes (Egg rolls - Egg roll recipes) (Recipe Top 50's Book 21),,,278555,,,2013-12-03,144,English
B00GDDQRH8,Soundmatters foxL DASH A Wireless Bluetooth Soundbar,,SoundMatters (Kindle Accessories),223730,,,,,
B00GR78KYS,Top 50 Most Delicious Potato Recipes (Recipe Top 50's Book 22),,,114262,,,2013-11-17,132,English
B00GW5KUCA,"Good Eating's Gluten-Free Recipes: Healthy and Fresh Appetizers, Entrees and Desserts",,Agate Digital,2332000,,,2013-12-17,94,English
B00GZ0SS58,"30 Quotes For Powerful Living- Using Heart's eye(motivation,Inspiration,leadership and success)",,Pradeep,3016483,,,2014-01-01,103,English
B00HD05AKA,"Moshi Stanza Duo (2-in-1 Dual Stylus and Pen) for Touchscreen Devices, Silver",,Moshi,,,,,,
B00HK28ESG,Vegetarian Cookbook: 30 Recipes for 30 Days,,,1336406,,,2013-12-26,50,English
B00HPM1FZ0,"Belkin Kindle Keyboard Case for All New Kindle Fire HD 7"" & HDX 7"" (fits both devices)",,Belkin Inc.,,5999,USD,2014-01-24,,
B00HPM1G8Q,Belkin Kindle Keyboard Case for Fire HDX 8.9 (will fit 3rd and 4th generation),,Belkin Inc.,,5000,USD,2014-01-29,,
B00HUFDI8Y,How To Train A Dog : How To Train Your Dog In 14 Days,,,1029981,,,2014-01-12,30,English
B00I0FBO2A,9 Types of Copycat Girl Scout Cookies: Your Favorite Copycat Girl Scout Cookie Flavors,,Prime Publishing LLC,,,,2014-01-22,37,English
B00IDDFFII,11 Sewing Room Ideas: How to Organize Your Room,,"Prime Publishing, LLC",,,,2014-02-10,86,English
B00IGVHAIK,"Free Story ""The Girl Who Wanted to be a Princess"" from Newfangled Fairy Tales",,Meadowbrook,,,,2014-03-11,16,English
B00IJXZ65E,"Speed Reading Techniques: Simple, Fun and Proven Strategies to Improve Speed Reading.",,,1999186,,,2014-02-01,31,English
B00IK7X4MQ,The Action Bible Easter Story (Action Bible Series),,David C. Cook,262918,,,2014-02-20,,English
B00IMNBQAU,Debt Free: How to Be Debt Free and Have Financial Freedom for Life,,,1538898,,,2014-02-23,28,English
B00IPK61IM,Free Sewing Patterns for Spring Fashion:  8 DIY Sewing Projects,,"Prime Publishing, LLC",,,,2014-02-27,51,English
B00IQBO8CQ,The Stone,,,2624732,,,2014-02-28,34,English
B00J1NEQ66,"Children's books: Exodus:  Bible stories for children (Illustrated bible) (books for kids age 9 12) (Values)(Short stories for children)(Bible study for ... bible, Values, Children's Book Series)",,,823836,,,2014-06-09,23,English
B00J9P3KBS,PlayPad Pro for Amazon Fire TV,,,,,,,,
B00JAWNQ9Q,The Adventures of Zeppi - A Penguin Story - #10 Winking Day,,,3303623,,,2014-03-27,48,English
B00JBO38H8,"Credit Repair: The Secrets of Fixing Your Credit, Up Your Credit Score and Qualify for a Mortgage or",,,1053912,,,2014-03-27,52,English
B00JFZ8M6U,Lets VDIfy our systems !: What is Desktop Virtualization ! (VDI guides series Book 1),,VDIFY,455969,,,2014-04-02,118,English
B00JRBOFX6,"The fabulous power of controlling emotions: ""They laughed when I said that I could control my emotions and fast! But when we saw each other again one month later ....""",,,2547355,,,2014-04-16,58,English
B00JZGFCWG,DRAINED: A Vampire Novel,,,2271420,,,2014-04-27,175,English
B00K0N1ZF6,"RULES OF ALPHA - How to Become the Great Leader You Were Born to Be ( Life leadership, Self Coaching, Life Coaching, Ledership Coaching, Leadership Principles, Life Coaching Tips, Life Coaching )",,,1551055,,,2014-07-20,30,English
B00K0W8HTE,Making Money Online: Making Your First Thousand Dollars from the Internet has Never Been this Easy! Generate a Huge Monthly Passive Income from Home. Start ... to Make Money Online with Proven Methods !),,,1450496,,,2014-04-28,51,English
B00K1U7CTQ,"A Kind of Mad Courage: Short Stories About Mothers, (S)mothers & Others",,Francine LaSala,1678960,,,2014-04-30,414,English
B00K48VH7S,"Thin Body By Fast Walking: Guide of fast walking for beginners. Find out how to lose weight without dieting, a simple method to lose weight in your daily life.",,,2114474,,,2014-05-03,55,English
B00K7M3SRS,Paracord bracelet instructions: Popular bracelets explained,,,84835,,,2014-05-07,252,English
B00KBB4UMM,A Long Lonely Road: Book 16: Bloodmoon,,TJ Reeder,277945,,,2014-05-12,99,English
B00KD158LW,"Bangkok Travel Guide : Hotels,museum,activities and much more: (Thailand travel guide,southeast asia) (southeast asia travel guide by NrBooks Book 2)",,NrBooks,1146433,,,2014-05-15,38,English
B00KI9HJ98,THE PATRIOT HANDBOOK - Acting With Valor In Times Of Trial,,,1578438,,,2014-05-22,35,English
B00KK802SM,Hamuketsu: Hamster Butts So Cute You Scream Long Time!,,Furry Bum Publishers,2395599,,,2014-05-24,14,English
B00KRPUC0Q,Testing the Submissive: The Story & Confessions of a Masochist,,,505910,,,2014-06-03,198,English
B00KV3VGOA,"A Single Mom’s Guide to Raising Young Children: Avoid Mistakes and Raise Happy, Healthy Kids (Parenting Help, Single Mom, Raising Kids, Parenting Books, ... Toddlers, Motherhood, Single Parent Book 2)",,,1184717,,,2014-06-08,39,English
B00L98Y0GW,"Tomato Planting  How to grow tasty tomato (Gardening made easy, seed plantes, container herb gardening) (gardening,companions gardening,container gardening,planting guide Amanda Johnson B Book 2)",,Amanda Johnson B,1141918,,,2014-06-23,68,English
